"Activity.Type","Date","Favorite","Title","Distance","Calories","Time","Avg.HR","Max.HR","Aerobic.TE","Avg.Run.Cadence","Max.Run.Cadence","Avg.Pace","Best.Pace","Total.Ascent","Total.Descent","Avg.Stride.Length","Avg.Vertical.Ratio","Avg.Vertical.Oscillation","Avg.Ground.Contact.Time","Training.Stress.Score.","Avg.Power","Max.Power","Grit","Flow","Total.Strokes","Avg..Swolf","Avg.Stroke.Rate","Total.Reps","Dive.Time","Min.Temp","Surface.Interval","Decompression","Best.Lap.Time","Number.of.Laps","Max.Temp","Moving.Time","Elapsed.Time","Min.Elevation","Max.Elevation","date_time","date_cal","Time_hms","temp","cat_dist","HR_zone","pace"
"Running","2024-03-15 15:17:14","false","Waterville Running",4.83,"594","00:41:09",164,187,3.3,"169","182","8:31","5:26","196","492",1.12,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:06:57.9",5,NA,"00:41:08","00:41:09","137","505",2024-03-15 15:17:14,2024-03-15,00:41:09,2000-12-12 00:08:31,"short","Zone_4",511
"Treadmill Running","2024-02-07 16:45:19","false","Treadmill Running",5.46,"665","00:46:29",168,179,3.7,"165","170","8:31","7:56","--","--",1.15,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:03:53.6",6,NA,"00:46:28","00:46:29","--","--",2024-02-07 16:45:19,2024-02-07,00:46:29,2000-12-12 00:08:31,"medium","Zone_4",511
"Running","2024-05-09 16:49:20","false","Waterville Running",4.11,"507","00:35:07",162,182,3.2,"168","176","8:32","7:29","175","149",1.12,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:01:00.3",5,NA,"00:35:04","00:35:07","213","346",2024-05-09 16:49:20,2024-05-09,00:35:07,2000-12-12 00:08:32,"short","Zone_4",512
"Running","2024-04-09 07:58:14","false","Waterville Running",5.11,"631","00:43:52",164,183,3.6,"164","172","8:35","7:33","240","256",1.14,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:00:58.1",6,NA,"00:43:49","00:47:13","137","344",2024-04-09 07:58:14,2024-04-09,00:43:52,2000-12-12 00:08:35,"medium","Zone_4",515
"Running","2024-02-02 08:40:45","false","Boston Running",2.59,"318","00:22:14",166,187,3.1,"155","177","8:35","6:39","7","108",1.21,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:04:51.7",3,NA,"00:21:20","00:22:14","--","111",2024-02-02 08:40:45,2024-02-02,00:22:14,2000-12-12 00:08:35,"short","Zone_4",515
"Running","2024-04-25 07:55:01","false","Waterville Running",4.9,"614","00:42:12",166,184,3.5,"171","178","8:36","7:45","651","656",1.1,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:07:35.5",5,NA,"00:42:10","00:42:12","137","623",2024-04-25 07:55:01,2024-04-25,00:42:12,2000-12-12 00:08:36,"short","Zone_4",516
"Running","2024-04-23 07:59:14","false","Waterville Running",3.61,"458","00:31:07",167,193,3.6,"171","179","8:37","6:57","434","488",1.09,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:04:42.7",4,NA,"00:31:06","00:41:02","173","459",2024-04-23 07:59:14,2024-04-23,00:31:07,2000-12-12 00:08:37,"short","Zone_4",517
"Running","2024-04-16 07:54:45","false","Waterville Running",4.92,"611","00:42:23",165,181,3.5,"166","173","8:37","7:26","257","250",1.12,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:07:59.2",5,NA,"00:42:18","00:43:54","137","345",2024-04-16 07:54:45,2024-04-16,00:42:23,2000-12-12 00:08:37,"short","Zone_4",517
"Running","2024-02-24 13:40:09","false","Waterville Running",11.33,"1,383","01:37:38",166,178,4.1,"168","176","8:37","6:44","668","643",1.11,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:02:44.9",12,NA,"01:37:35","01:38:52","95","469",2024-02-24 13:40:09,2024-02-24,01:37:38,2000-12-12 00:08:37,"long","Zone_4",517
"Treadmill Running","2024-04-02 08:17:29","false","Treadmill Running",1.48,"196","00:12:53",166,178,2.7,"165","172","8:42","8:09","--","--",1.12,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:04:12.0",2,NA,"00:12:53","00:12:53","--","--",2024-04-02 08:17:29,2024-04-02,00:12:53,2000-12-12 00:08:42,"short","Zone_4",522
"Running","2024-01-26 07:10:24","false","Heraklion Running",4.79,"571","00:41:58",165,186,3.6,"156","181","8:46","6:36","207","152",1.18,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:06:53.7",5,NA,"00:41:32","00:45:53","--","163",2024-01-26 07:10:24,2024-01-26,00:41:58,2000-12-12 00:08:46,"short","Zone_4",526
"Treadmill Running","2024-02-23 15:24:44","false","Treadmill Running",4.01,"506","00:35:31",163,177,3.2,"167","176","8:51","8:26","--","--",1.08,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:08:45.4",4,NA,"00:35:30","00:35:31","--","--",2024-02-23 15:24:44,2024-02-23,00:35:31,2000-12-12 00:08:51,"short","Zone_4",531
"Running","2024-05-12 07:00:04","false","Eustis Running",26.45,"3,230","03:54:29",168,182,5,"169","179","8:52","7:36","542","1,114",1.07,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:04:12.8",27,NA,"03:54:24","03:54:29","584","1,542",2024-05-12 07:00:04,2024-05-12,03:54:29,2000-12-12 00:08:52,"long","Zone_4",532
"Treadmill Running","2024-03-11 17:17:27","false","Treadmill Running",4.16,"452","00:36:53",152,172,2.6,"164","176","8:52","8:09","--","--",1.11,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:01:23.4",5,NA,"00:36:00","00:36:53","--","--",2024-03-11 17:17:27,2024-03-11,00:36:53,2000-12-12 00:08:52,"short","Zone_3",532
"Running","2024-04-14 11:18:07","false","Waterville Running",16.1,"1,976","02:22:58",165,181,4.9,"167","175","8:53","7:40","1,034","1,036",1.09,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:00:52.3",17,NA,"02:22:52","02:22:58","95","469",2024-04-14 11:18:07,2024-04-14,02:22:58,2000-12-12 00:08:53,"long","Zone_4",533
"Running","2024-02-05 13:42:59","false","Northampton Running",11.12,"1,351","01:39:10",165,187,4.4,"166","209","8:55","6:54","479","472",1.09,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:01:05.4",12,NA,"01:38:51","01:41:11","278","598",2024-02-05 13:42:59,2024-02-05,01:39:10,2000-12-12 00:08:55,"long","Zone_4",535
"Running","2024-04-07 14:42:42","false","Waterville Running",15.81,"1,948","02:21:11",165,179,4.9,"165","172","8:56","7:45","982","984",1.09,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:06:51.7",16,NA,"02:21:07","02:22:27","92","469",2024-04-07 14:42:42,2024-04-07,02:21:11,2000-12-12 00:08:56,"long","Zone_4",536
