Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-09-21 16:08:19,false,"New York Running","1.35","102","00:09:59.7","137","148","1.3","169","212","7:26","3:49","82","92","1.28","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","75.2","NaN:NaN","No","00:02:38.3","2","86.0","00:09:54","00:09:59.7","2,637","2,690"
Running,2021-09-15 06:42:49,false,"New York Running","0.92","83","00:07:08.6","147","157","1.4","158","193","7:47","4:08","7","7","1.31","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","73.4","NaN:NaN","No","00:07:08.6","1","75.2","00:06:59","00:07:08.6","2,660","2,671"
Running,2021-08-19 10:19:36,false,"New York Running","0.38","44","00:03:13.9","163","169","1.2","143","165","8:25","3:12","--","--","1.34","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","82.4","NaN:NaN","No","00:03:13.9","1","82.4","00:03:10","00:03:13.9","2,215","2,222"
Running,2021-08-18 11:18:47,false,"New York Running","1.96","193","00:17:38","142","168","2.3","157","178","9:01","7:40","52","33","1.14","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","80.6","NaN:NaN","No","00:08:34.5","2","84.2","00:16:54","00:21:33","2,273","2,296"
Running,2021-08-16 15:46:41,false,"Running","2.11","194","00:17:38","143","162","2.2","166","184","8:22","7:32","49","43","1.16","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","78.8","NaN:NaN","No","00:00:50.5","3","82.4","00:17:28","00:17:38","2,279","2,298"
Running,2021-07-20 08:19:25,false,"Running","1.80","184","00:15:35","146","159","2.1","162","181","8:40","7:40","52","43","1.15","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","75.2","NaN:NaN","No","00:07:01.1","2","80.6","00:15:32","00:16:28","1,650","1,671"
Running,2021-06-17 19:14:36,false,"New York Running","1.89","268","00:28:57","135","168","1.9","103","248","15:21","7:08","72","95","0.96","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","73.4","NaN:NaN","No","00:08:16.3","2","82.4","00:21:14","00:34:03","860","928"
Cardio,2020-10-09 01:11:26,false,"Cardio","0.00","195","00:19:35","141","165","2.2","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","69.8","NaN:NaN","No","00:00:00.7","2","78.8","00:00:00","00:19:35","619","619"
Running,2020-10-02 16:30:01,false,"Running","0.69","53","00:05:19.3","140","150","0.8","154","173","7:44","7:11","3","--","1.35","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","64.4","NaN:NaN","No","00:05:19.3","1","68.0","00:05:11","00:05:19.3","659","667"
Running,2020-09-11 16:52:47,false,"Running","1.15","102","00:09:35.2","146","161","1.9","155","169","8:20","7:23","30","33","1.25","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","75.2","NaN:NaN","No","00:01:18.5","2","78.8","00:09:33.7","00:10:53","73","103"
Running,2020-09-10 06:42:05,false,"Running","2.50","244","00:20:21","157","177","3.1","159","188","8:08","5:14","59","59","1.24","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","75.2","NaN:NaN","No","00:03:40.9","3","82.4","00:20:06","00:23:49","47","90"
Running,2020-09-04 06:45:28,false,"New York Running","2.46","259","00:21:11","161","179","3.0","154","177","8:38","6:36","62","52","1.21","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","71.6","NaN:NaN","No","00:03:56.7","3","82.4","00:20:47","00:26:21","-37","-13"
Running,2020-09-03 06:43:53,false,"New York Running","2.55","268","00:22:53","155","174","2.9","158","167","8:58","8:09","62","56","1.14","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","73.4","NaN:NaN","No","00:05:04.7","3","82.4","00:22:50","00:23:13","-144","-122"
Running,2020-09-02 06:41:31,false,"New York Running","2.53","293","00:24:31","158","175","3.0","157","167","9:41","7:09","66","59","1.06","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","71.6","NaN:NaN","No","00:05:02.2","3","82.4","00:24:21","00:26:35","-198","-148"
Running,2020-08-31 06:41:57,false,"Running","1.91","229","00:18:34","160","171","3.0","158","171","9:42","9:01","46","46","1.05","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","66.2","NaN:NaN","No","00:08:40.8","2","82.4","00:18:31","00:24:06","-241","-212"
Running,2020-08-27 06:56:00,false,"New York Running","2.65","318","00:25:27","163","184","3.2","153","167","9:37","7:34","56","52","1.10","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","69.8","NaN:NaN","No","00:06:34.9","3","80.6","00:25:09","00:25:35","26","52"
Running,2020-08-26 06:54:46,false,"New York Running","2.57","292","00:23:55","160","175","3.0","158","213","9:18","7:41","52","62","1.10","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","68.0","NaN:NaN","No","00:05:26.5","3","82.4","00:23:50","00:24:09","16","46"
Running,2020-08-25 06:41:59,false,"New York Running","2.18","242","00:19:36","161","185","3.0","156","167","9:00","7:44","52","39","1.14","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","75.2","NaN:NaN","No","00:01:36.0","3","82.4","00:19:36","00:22:59","39","66"
Running,2020-08-24 06:42:34,false,"New York Running","2.65","260","00:22:10","155","170","2.8","157","171","8:21","7:29","66","56","1.22","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","77.0","NaN:NaN","No","00:05:44.8","3","80.6","00:20:28","00:23:01","18","45"
Running,2020-06-29 09:20:32,false,"Running","1.99","200","00:17:06","153","163","2.4","158","181","8:36","6:08","75","69","1.18","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","78.8","NaN:NaN","No","00:08:02.0","2","80.6","00:17:06","00:17:06","604","659"
Running,2020-06-26 07:48:36,false,"Running","2.77","278","00:24:16","153","166","2.7","159","171","8:46","8:13","39","43","1.15","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","78.8","NaN:NaN","No","00:06:31.2","3","84.2","00:24:08","00:24:16","635","671"
Running,2020-06-23 05:50:15,false,"Running","4.20","445","00:37:21","160","169","3.1","156","185","8:53","6:22","95","52","1.17","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","82.4","NaN:NaN","No","00:01:47.6","5","87.8","00:37:18","00:38:33","484","543"
