Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-04-07 14:42:42,false,"Waterville Running","15.81","1,948","02:21:11","165","179","4.9","165","172","8:56","7:45","982","984","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:06:51.7","16","NaN","02:21:07","02:22:27","92","469"
Treadmill Running,2024-04-05 17:30:25,false,"Treadmill Running","5.06","718","00:47:27","170","187","4.1","159","180","9:23","8:20","--","--","1.06","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:02:38.2","6","NaN","00:44:42","00:47:27","--","--"
Running,2024-04-03 16:20:58,false,"Waterville Running","5.67","719","00:51:10","164","181","3.5","163","168","9:02","7:41","280","289","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:05:52.9","6","NaN","00:51:09","00:51:53","92","345"
Running,2024-04-02 08:34:36,false,"Waterville Running","1.00","126","00:08:17.0","169","184","2.3","167","174","8:15","7:29","42","21","1.17","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:00:02.5","2","NaN","00:08:17.0","00:08:17.0","216","269"
Treadmill Running,2024-04-02 08:17:29,false,"Treadmill Running","1.48","196","00:12:53","166","178","2.7","165","172","8:42","8:09","--","--","1.12","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:04:12.0","2","NaN","00:12:53","00:12:53","--","--"
Running,2024-04-02 07:56:38,false,"Waterville Running","0.96","124","00:09:06.3","157","173","2.3","163","169","9:26","8:24","33","19","1.04","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:09:06.3","1","NaN","00:09:06.3","00:20:27","212","252"
Running,2024-04-01 18:25:38,false,"Waterville Running","1.21","171","00:12:14","159","174","2.0","158","172","10:07","8:29","37","--","1.01","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:02:03.7","2","NaN","00:11:53","00:40:05","225","269"
Running,2024-03-15 15:17:14,false,"Waterville Running","4.83","594","00:41:09","164","187","3.3","169","182","8:31","5:26","196","492","1.12","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:06:57.9","5","NaN","00:41:08","00:41:09","137","505"
Running,2024-03-12 16:19:48,false,"Waterville Running","5.53","669","00:42:59","173","186","3.8","169","179","7:47","6:42","251","261","1.22","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:03:55.5","6","NaN","00:42:49","00:42:59","93","345"
Treadmill Running,2024-03-12 16:04:10,false,"Treadmill Running","1.02","129","00:08:48.6","163","181","2.2","172","179","8:37","8:09","--","--","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:00:10.5","2","NaN","00:08:48.5","00:08:48.6","--","--"
Treadmill Running,2024-03-11 17:17:27,false,"Treadmill Running","4.16","452","00:36:53","152","172","2.6","164","176","8:52","8:09","--","--","1.11","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:01:23.4","5","NaN","00:36:00","00:36:53","--","--"
Treadmill Running,2024-03-09 18:43:40,false,"Treadmill Running","4.20","484","00:37:40","153","161","2.6","165","180","8:58","8:10","--","--","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:01:43.5","5","NaN","00:36:45","00:37:40","--","--"
Running,2024-03-08 18:45:16,false,"Waterville Running","0.61","186","00:14:53","153","175","2.1","119","193","24:20","5:09","19","35","0.56","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:00:02.3","2","NaN","00:09:06.3","00:14:56","205","246"
Treadmill Running,2024-03-06 19:56:21,false,"Treadmill Running","4.02","484","00:36:03","158","177","2.8","165","175","8:58","8:24","--","--","1.06","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:08:14.4","4","NaN","00:35:27","00:36:03","--","--"
Treadmill Running,2024-03-05 16:45:59,false,"Treadmill Running","5.20","624","00:47:15","156","168","2.9","165","240","9:05","7:30","--","--","0.92","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:04:57.8","5","NaN","00:46:25","00:47:29","--","--"
Other,2024-03-04 20:31:44,false,"Waterville Soccer","1.89","484","00:32:40","167","187","3.2","59","236","3.5","14.7","5","5","1.57","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:14:00","2","NaN","00:29:27","00:32:40","223","226"
Running,2024-03-03 16:33:29,false,"Waterville Running","6.31","776","00:57:16","156","174","3.2","164","172","9:04","8:06","361","368","1.08","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:02:48.8","7","NaN","00:57:14","00:57:16","92","347"
Treadmill Running,2024-02-29 16:06:38,false,"Treadmill Running","4.00","605","01:05:20","145","183","3.0","113","228","16:20","7:04","--","--","0.93","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:08:50.6","5","NaN","00:47:36","01:05:20","--","--"
Other,2024-02-28 19:56:12,false,"Waterville Soccer","0.70","155","00:10:10","168","181","2.3","42","187","4.1","13.0","76","--","2.64","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:10:10","1","NaN","00:09:49","00:10:10","149","226"
Running,2024-02-28 19:35:52,false,"Waterville Running","1.86","219","00:14:32","165","177","2.6","168","176","7:48","7:02","--","4","1.23","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:06:59.5","2","NaN","00:14:32","00:14:32","218","226"
Other,2024-02-27 18:23:13,false,"Waterville Soccer","4.17","928","01:05:25","168","182","3.7","53","249","3.8","15.8","3","2","1.97","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:07:31.8","5","NaN","01:02:27","01:05:25","223","227"
Treadmill Running,2024-02-26 19:59:40,false,"Treadmill Running","3.91","439","00:35:21","151","165","2.5","165","173","9:02","8:27","--","--","1.08","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:08:04.4","4","NaN","00:34:38","00:35:40","--","--"
Running,2024-02-24 13:40:09,false,"Waterville Running","11.33","1,383","01:37:38","166","178","4.1","168","176","8:37","6:44","668","643","1.11","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:02:44.9","12","NaN","01:37:35","01:38:52","95","469"
Treadmill Running,2024-02-23 15:24:44,false,"Treadmill Running","4.01","506","00:35:31","163","177","3.2","167","176","8:51","8:26","--","--","1.08","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:08:45.4","4","NaN","00:35:30","00:35:31","--","--"
Running,2024-02-22 16:28:19,false,"Waterville Running","4.70","556","00:37:37","165","180","3.4","168","175","8:00","7:02","300","296","1.19","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:05:26.3","5","NaN","00:37:35","00:37:37","95","276"
Other,2024-02-20 18:09:10,false,"Waterville Soccer","4.31","823","01:14:18","156","191","3.2","53","238","3.5","13.6","1","3","1.82","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:05:13.6","5","NaN","01:06:59","01:14:18","221","227"
Treadmill Running,2024-02-19 16:26:36,false,"Treadmill Running","4.01","483","00:36:35","156","171","3.0","167","176","9:07","7:50","--","--","1.17","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:03:30.1","5","NaN","00:36:34","00:36:35","--","--"
Running,2024-02-17 12:19:41,false,"Waterville Running","12.65","1,482","01:42:48","167","184","4.6","168","177","8:08","6:02","876","836","1.18","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:05:08.9","13","NaN","01:42:44","01:43:08","95","456"
Running,2024-02-15 16:15:37,false,"Waterville Running","4.56","519","00:34:04","175","191","3.7","171","189","7:28","5:23","371","363","1.26","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:04:53.4","5","NaN","00:33:52","00:35:06","95","282"
Treadmill Running,2024-02-14 17:14:36,false,"Treadmill Running","5.00","567","00:41:09","163","183","3.3","166","170","8:14","9:01","--","--","1.03","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:03:18.4","5","NaN","00:41:07","00:41:09","--","--"
Treadmill Running,2024-02-13 17:17:00,false,"Treadmill Running","2.00","282","00:19:36","166","179","2.9","165","170","9:48","8:26","--","--","1.05","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:01:01.7","3","NaN","00:19:27","00:19:36","--","--"
Track Running,2024-02-13 16:52:07,false,"Waterville Track Running","620","76","00:09:24.4","123","163","0.6","105","230","24:24","4:29","47","126","0.63","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:09:24.4","1","NaN","00:06:31","00:09:24.4","133","260"
Treadmill Running,2024-02-13 16:18:35,false,"Treadmill Running","1.73","221","00:16:12","158","173","2.5","161","176","9:23","8:00","--","--","1.06","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:06:34.0","2","NaN","00:15:27","00:17:13","--","--"
Running,2024-02-11 14:10:29,false,"Oakland Running","11.49","1,405","01:44:05","164","183","4.1","163","176","9:04","7:34","470","415","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:04:08.4","12","NaN","01:43:43","01:46:10","95","277"
Treadmill Running,2024-02-10 15:01:15,false,"Treadmill Running","4.00","475","00:36:12","158","171","3.0","167","173","9:03","7:41","--","--","1.17","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:03:32.6","5","NaN","00:36:07","00:36:12","--","--"
Indoor Running,2024-02-09 17:12:46,false,"Recovery","1.57","121","00:07:52.4","177","198","3.0","176","197","5:01","3:19","--","--","1.83","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:01:10.8","4","NaN","00:07:36","00:15:54","--","--"
Running,2024-02-09 16:40:29,false,"Waterville Running","2.02","267","00:19:14","163","178","2.7","158","176","9:30","8:21","5","5","1.07","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:00:15.4","3","NaN","00:19:13","00:19:15","221","226"
Running,2024-02-08 19:21:49,false,"Running","5.24","650","00:51:06","159","173","3.2","156","169","9:46","8:43","--","--","1.06","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:03:42.3","6","NaN","00:50:09","00:51:06","--","--"
Treadmill Running,2024-02-07 16:45:19,false,"Treadmill Running","5.46","665","00:46:29","168","179","3.7","165","170","8:31","7:56","--","--","1.15","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:03:53.6","6","NaN","00:46:28","00:46:29","--","--"
Running,2024-02-05 13:42:59,false,"Northampton Running","11.12","1,351","01:39:10","165","187","4.4","166","209","8:55","6:54","479","472","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:01:05.4","12","NaN","01:38:51","01:41:11","278","598"
Treadmill Running,2024-02-04 13:34:21,false,"Treadmill Running","4.19","567","00:40:31","167","179","3.5","165","173","9:40","8:32","--","--","0.91","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:08:39.5","4","NaN","00:40:13","00:40:31","--","--"
Running,2024-02-02 08:40:45,false,"Boston Running","2.59","318","00:22:14","166","187","3.1","155","177","8:35","6:39","7","108","1.21","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:04:51.7","3","NaN","00:21:20","00:22:14","--","111"
Running,2024-02-01 10:27:31,false,"Brookline Running","6.08","782","00:58:13","164","185","4.0","149","179","9:34","6:23","165","40","1.13","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:00:51.1","7","NaN","00:55:14","01:11:51","--","148"
Running,2024-01-31 16:54:35,false,"Brookline Running","2.49","402","01:09:38","121","179","2.8","100","243","27:58","2:30","311","374","0.47","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:00:09.4","4","NaN","00:27:08","01:23:22","114","217"
Running,2024-01-26 07:10:24,false,"Heraklion Running","4.79","571","00:41:58","165","186","3.6","156","181","8:46","6:36","207","152","1.18","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:06:53.7","5","NaN","00:41:32","00:45:53","--","163"
Running,2024-01-22 05:53:57,false,"Kallithea Running","8.95","1,017","01:13:07","151","170","5.0","160","180","8:10","5:53","491","312","1.23","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:06:47.5","9","NaN","01:12:15","01:21:21","-15","378"
Treadmill Running,2024-01-17 15:05:06,false,"Treadmill Running","4.00","495","00:43:29","154","168","3.0","160","180","10:52","8:38","--","--","0.96","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:00:06.9","6","NaN","00:43:14","00:43:29","--","--"
Treadmill Running,2024-01-16 18:10:23,false,"Treadmill Running","12.35","1,400","01:53:38","163","182","4.8","164","174","9:12","7:28","--","--","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:04:35.8","13","NaN","01:52:24","01:55:36","--","--"
Treadmill Running,2024-01-11 08:32:24,false,"Treadmill Running","8.00","1,047","01:13:57","175","189","5.0","159","210","9:15","8:04","--","--","1.03","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:05:29.3","8","NaN","01:11:42","01:13:57","--","--"
